Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2022,2022,g/cap/d,2.41,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2734,Poultry Meat,2016,2016,1000 t,27,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2016,2016,kg/cap,13.63,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2016,2016,g/cap/d,6.2,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2734,Poultry Meat,2022,2022,1000 t,47,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2022,2022,kg/cap,22.56,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2022,2022,g/cap/d,10.27,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2735,"Meat, Other",2016,2016,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2016,2016,kg/cap,0.05,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2735,"Meat, Other",2016,2016,g/cap/d,0.03,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2735,"Meat, Other",2022,2022,1000 t,1,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2022,2022,kg/cap,0.27,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2735,"Meat, Other",2022,2022,g/cap/d,0.4,E,Estimated value,
